Site;Species;Treat;Block;Plot;Year;Date;Registrator;IDS;MS;IDG;X;Y;SH;NL;NL_partitioned;LL;WL;NFL;NFL1;NFL2;NFL3;NB;NB1;NB2;NB3;NC;NC1;NC2;NAC;NFS;Length of aks;Length of aks (partitioned);seedl;juvinale;comment
Gud;Car_pal;Extant;7;2;2018;03.09.2018;RG;5;;;17,0;19,0;;7;;192;;;;;;;;;;;;;;;11;;;;avblomstret
Gud;Car_pal;Novel;7;6;2018;03.09.2018;ELE;1;;;29,0;16,5;;8;;81;;;;;;;;;;;;;;;21;;;;
Gud;Car_pal;Novel;7;6;2018;03.09.2018;ELE;2;;;27,5;15,5;;7;;58;;;;;;;;;;;;;;;;;;;
Gud;Car_pal;Novel;7;6;2018;03.09.2018;ELE;3;;;29,0;8,0;;9;;80;;;;;;;;;;;;;;;21;;;;
Låv;Vio_can;Extant;6;6;2018;14.09.2018;;1;;;17,5;15,5;22;16;;27;23;;;;;;;;;3;;;;;;;;;4 shoots
Låv;Vio_can;Extant;6;6;2018;14.09.2018;;2;;;17,0;10,0;31;5;;27;25;;;;;;;;;;;;;;;;;;
Låv;Vio_can;Extant;6;6;2018;14.09.2018;;3;;;17,5;7,0;23;3;;19;20;;;;;;;;;;;;;;;;;;
Låv;Vio_can;Extant;6;6;2018;14.09.2018;;4;;;18,5;6,5;24;24;;22;21;;;;;;;;;;;;;;;;;;6 shoots
Låv;Ver_off;Extant;6;6;2018;14.09.2018;;1;;1;26,0;16,5;8;15;;22;13;;;;;;;;;8;;;;;;;;;
Låv;Ver_off;Extant;6;6;2018;14.09.2018;;2;;2;28,0;17,5;46;10;;40;6;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;6;6;2018;14.09.2018;;3;1;1;27,0;18,5;25;10;;17;7;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;6;6;2018;14.09.2018;;4;1;1;27,5;18,5;12;6;;12;4;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;6;6;2018;14.09.2018;;5;;2;26,0;15,5;56;12;;15;11;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;6;6;2018;14.09.2018;;6;5;2;28,0;16,0;21;5;;30;6;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;6;6;2018;14.09.2018;;7;5;2;29,0;18,0;20;7;;18;12;;;;;;;;;;;;;;;;;;(+) shoots
Låv;Ver_off;Extant;6;6;2018;14.09.2018;;8;;;29,0;8,0;70;40;;28;12;;;;;;;;;;;;;;;;;;
Gud;Car_pal;Novel;7;6;2018;03.09.2018;ELE;4;;;25,5;7,0;;5;;62;;;;;;;;;;;;;;;;;;;grazed
Gud;Car_pal;Novel;7;6;2018;03.09.2018;ELE;5;;;25,5;6,5;;6;;67;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;1;5;2018;13.09.2018;IA;1;;;5,0;17,5;;19;;228;;;;;;;;;;;;;;;;;;;6
Ulv;Car_pal;Novel;1;5;2018;13.09.2018;IA;2;;;7,5;17,0;;10;;209;;;;;;;;;;;;;;;;;;;3+2
Ulv;Car_pal;Novel;1;5;2018;13.09.2018;IA;3;;;5,0;7,5;;6;;274;;;;;;;;;;;;;;;;;;;2
Ulv;Car_pal;Novel;1;5;2018;13.09.2018;IA;4;;;6,5;6,0;;2;;55;;;;;;;;;;;;;;;28;;;;1+2 new shriveled leaves
Ulv;Car_pal;Novel;1;5;2018;13.09.2018;IA;5;;;7,5;5,5;;2;;162;;;;;;;;;;;;;;;21;;;;1
Låv;Ver_off;Extant;7;2;2018;14.09.2018;;1;;;16,5;18,5;40;8;;34;14;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;7;2;2018;14.09.2018;;2;;;18,5;6,0;45;12;;20;9;;;;;;;;;;;;;;;;;;
Låv;Ver_off;Extant;7;2;2018;14.09.2018;;3;;;16,0;5,0;15;3;;15;8;;;;;;;;;;;;;;;;;;
Låv;Vio_can;Extant;7;2;2018;14.09.2018;;1;;;26,0;18,0;28;25;;28;24;;;;;;;;;;;;;;;;;;5 shoot
Låv;Vio_can;Extant;7;2;2018;14.09.2018;;2;;;29,0;6,0;17;3;;21;30;;;;;;;;;;;;;;;;;;
Låv;Vio_can;Extant;7;2;2018;14.09.2018;;3;;;28,0;8,0;12;7;;26;25;;;;;;;;;;;;;;;;;;
Låv;Vio_can;Extant;7;2;2018;14.09.2018;;4;;;26,5;6,5;20;7;;26;24;;;;;;;;;;;;;;;;;;
Låv;Suc_pra;Novel;7;3;2018;14.09.2018;IA;1;;;8,0;18,0;;27;15+12;100;22;26;10;16;;;;;;;;;;;;;;;
Låv;Suc_pra;Novel;7;3;2018;14.09.2018;IA;2;;;8,5;8,0;;23;17+6;96;24;14;;;;;;;;;;;;;;;;;
Låv;Hyp_mac;Novel;7;3;2018;14.09.2018;IA;1;;;18,0;16,5;196;93;;14;11;5;;;;;;;;6;;;;;;;;;
Låv;Hyp_mac;Novel;7;3;2018;14.09.2018;IA;2;;;17,5;8,0;201;65;;19;10;1;;;;1;;;;;;;;;;;;;
Ulv;Car_pal;Novel;2;1;2018;13.09.2018;;1;;;6,0;17,5;;5;;291;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;2;1;2018;13.09.2018;;2;;;6,5;15,5;;3;;210;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;2;1;2018;13.09.2018;;3;;;7,5;17,0;;1;;141;;;;;;;;;;;;;;;31;;;;
Ulv;Car_pal;Novel;2;1;2018;13.09.2018;;4;;;9,0;16,0;;2;;129;;;;;;;;;;;;;;;;;;;use to have
Ulv;Car_pal;Novel;2;1;2018;13.09.2018;;5;;;9,0;17,5;;;;10;;;;;;;;;;;;;;;;;;;new shoot
Ulv;Car_pal;Novel;2;1;2018;13.09.2018;;6;;;6,0;7,0;;3;;280;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;2;1;2018;13.09.2018;;7;;;7,0;5,5;;;;32;;;;;;;;;;;;;;;;;;;new shoot
Ulv;Car_pal;Novel;2;1;2018;13.09.2018;;8;;;7,5;6,0;;3;;150;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;2;1;2018;13.09.2018;;9;;;8,0;7,0;;;;22;;;;;;;;;;;;;;;;;;;new shoot
Ulv;Car_pal;Novel;2;1;2018;13.09.2018;;10;;;9,0;8,0;;;;244;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;2;1;2018;13.09.2018;;11;;;7,5;8,5;;;;30;;;;;;;;;;;;;;;;;;;new shoot
Låv;Hyp_mac;Novel;3;3;2018;14.09.2018;IA;1;;;17,5;17,5;240;164;;16;12;2;;;;2;;;;5;;;;;;;;;
Låv;Hyp_mac;Novel;3;3;2018;14.09.2018;IA;2;;;18,0;8,0;229;116;;16;10;3;;;;1;;;;6;;;;;;;;;
Låv;Suc_pra;Novel;3;3;2018;14.09.2018;IA;1;;;27,0;18,0;;19;13+6;135;37;41;10;12;19;;;;;;;;;;;;;;
Låv;Suc_pra;Novel;3;3;2018;14.09.2018;IA;2;;;28,0;9,5;;10;;92;24;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;2;5;2018;13.09.2018;IA;1;;;16,5;18,0;;4;;161;;;;;;;;;;;;;;;15;;;;
Ulv;Car_pal;Novel;2;5;2018;13.09.2018;IA;2;;;17,0;16,0;;5;;262;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;2;5;2018;13.09.2018;IA;3;;;18,0;18,5;;15;;28;;;;;;;;;;;;;;;47;29+18;;;2 new shoots
Ulv;Car_pal;Novel;2;5;2018;13.09.2018;IA;4;;;15,5;8,0;;;;370;;;;;;;;;;;;;;;;;;;6 shoots
Ulv;Car_pal;Novel;2;5;2018;13.09.2018;IA;5;;;16,0;6,0;;3;;155;;;;;;;;;;;;;;;26;;;;1+4 new
Gud;Suc_pra;Novel;1;2;2018;03.09.2018;SO;1;;;17,5;19,0;;14;12+2;95;21;9;;;;3;;;;;;;;;;;;;
Gud;Suc_pra;Novel;1;2;2018;03.09.2018;SO;2;;;15,5;7,0;;26;20+6;162;37;30;9;9;12;;;;;;;;;;;;;;
Gud;Hyp_mac;Novel;1;2;2018;03.09.2018;SO;1;;1;27,0;17,0;100;12;;15;8;;;;;;;;;;;;;;;;;;
Gud;Hyp_mac;Novel;1;2;2018;03.09.2018;SO;2;;1;28,0;16,5;172;58;;25;15;;;;;;;;;;;;;;;;;;topp av skudd mangler
Gud;Hyp_mac;Novel;1;2;2018;03.09.2018;SO;3;;2;27,5;8,5;309;92;;19;12;;;;;1;;;;;;;;;;;;;
Gud;Hyp_mac;Novel;1;2;2018;03.09.2018;SO;4;;2;29,0;9,0;92;20;;11;7;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;1;4;2018;03.09.2018;SO;1;;;26,5;18,0;68;19;;26;14;1;;;;;;;;24;;;;;;;;;
Gud;Ver_off;Extant;1;4;2018;03.09.2018;SO;2;;;27,0;9,0;94;20;;21;12;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;2;5;2018;13.09.2018;IA;6;;;17,5;6,5;;4;;242;;;;;;;;;;;;;;;;;;;1+4 new grazed
Ulv;Car_pal;Novel;2;5;2018;13.09.2018;IA;7;;;16,0;4,0;;13;;323;;;;;;;;;;;;;;;;;;;3 shoots
Ulv;Car_pal;Novel;3;3;2018;13.09.2018;SO;1;;;17,5;17,5;;4;;291;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;3;3;2018;13.09.2018;SO;2;;;18,5;17,0;;;;;;;;;;;;;;;;;;;;;;;new shoot
Ulv;Car_pal;Novel;3;3;2018;13.09.2018;SO;3;;;19,0;18,0;;7;;360;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;3;3;2018;13.09.2018;SO;4;;;18,0;16,0;;2;;166;;;;;;;;;;;;;;;;;;;topp med aks mangler
Ulv;Car_pal;Novel;3;3;2018;13.09.2018;SO;5;;;19,0;16,0;;;;;;;;;;;;;;;;;;;;;;;new shoot
Ulv;Car_pal;Novel;3;3;2018;13.09.2018;SO;6;;;19,5;16,0;;;;;;;;;;;;;;;;;;;;;;;new shoot
Gud;Vio_can;Extant;1;4;2018;03.09.2018;SO;1;;;8,5;17,5;16;4;;20;14;;;;;;;;;;;;;;;;;;
Gud;Vio_can;Extant;1;4;2018;03.09.2018;SO;2;;;6,0;7,5;20;3;;20;12;;;;;;;;;;;;;;;;;;
Gud;Vio_can;Extant;1;4;2018;03.09.2018;SO;3;;;6,5;9,5;10;3;;14;10;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;3;3;2018;13.09.2018;SO;7;;;20,0;15,5;;;;;;;;;;;;;;;;;;;;;;;new shoot
Ulv;Car_pal;Novel;3;3;2018;13.09.2018;SO;8;;;17,5;15,5;;;;;;;;;;;;;;;;;;;;;;;new shoot
Ulv;Car_pal;Novel;3;3;2018;13.09.2018;SO;9;;;18,5;8,5;;4;;224;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;3;3;2018;13.09.2018;SO;10;;;17,5;8,5;;4;;216;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;3;3;2018;13.09.2018;SO;11;;;19,5;8,0;;4;;234;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;3;3;2018;13.09.2018;SO;12;;;18,5;7,0;;3;;165;;;;;;;;;;;;;;;;;;;
Gud;Hyp_mac;Novel;1;6;2018;03.09.2018;SO;1;;;17,5;18,5;138;30;;14;10;;;;;;;;;;;;;;;;;;
Gud;Hyp_mac;Novel;1;6;2018;03.09.2018;SO;2;;;18,0;8,5;219;68;;21;10;;;;;;;;;;;;;;;;;;
Gud;Suc_pra;Novel;1;6;2018;03.09.2018;SO;1;;;29,0;17,0;;12;9+3;108;27;;;;;;;;;;;;;;;;;;
Gud;Suc_pra;Novel;1;6;2018;03.09.2018;SO;2;;;26,5;8,0;;23;10+4+6+3;120;32;;;;;4;;;;;;;3;4;;;;;
Gud;Suc_pra;Novel;2;2;2018;04.09.2018;RG;1;;;6,5;16,5;;22;10+12;118;25;;;;;;;;;17;9;8;;3;;;;;3 flower stem, 2 avblomstrert, 1 kapsel, 1 kapsel + 2 avblomstret
Gud;Suc_pra;Novel;2;2;2018;04.09.2018;RG;2;;;6,0;8,5;;17;13+4;121;32;12;;;;;;;;13;8;5;;1;;;;;1 flower stem with three heads
Gud;Hyp_mac;Novel;2;2;2018;04.09.2018;RG;1;;;16,5;16,5;408;70;;14;;;;;;;;;;16;;;1;;;;;;
Gud;Hyp_mac;Novel;2;2;2018;04.09.2018;RG;2;;;17,0;7,5;47;5;;4;;;;;;;;;;;;;;;;;;;
Gud;Hyp_mac;Novel;2;2;2018;04.09.2018;RG;3;;;17,0;6,5;113;11;;9;;;;;;;;;;;;;;;;;;;
Gud;Hyp_mac;Novel;2;2;2018;04.09.2018;RG;4;;;18,0;7,5;116;12;;8;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;3;3;2018;13.09.2018;SO;13;;;16,5;6,0;;6;;285;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;4;3;2018;13.09.2018;IA;1;;;29,0;19,0;;;;29;;;;;;;;;;;;;;;;;;;new shoot
Ulv;Car_pal;Novel;4;3;2018;13.09.2018;IA;2;;;30,0;16,5;;;;32;;;;;;;;;;;;;;;;;;;x dead new shoot
Ulv;Car_pal;Novel;4;3;2018;13.09.2018;IA;3;;;30,0;16,0;;;;45;;;;;;;;;;;;;;;;;;;new shoot
Ulv;Car_pal;Novel;4;3;2018;13.09.2018;IA;4;;;28,0;15,5;;8;;297;;;;;;;;;;;;;;;;;;;2 shoots
Ulv;Car_pal;Novel;4;3;2018;13.09.2018;IA;5;;;29,0;6,5;;10;;345;;;;;;;;;;;;;;;;;;;10 whole lot of shoot
Gud;Ver_off;Extant;2;3;2018;03.09.2018;ELE/RG;1;;;8,0;17,0;51;22;;18;10;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;2;3;2018;03.09.2018;ELE/RG;2;;;9,0;16,0;28;12;;16;8;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;2;3;2018;03.09.2018;ELE/RG;3;;;11,0;17,0;103;24;;17;9;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;2;3;2018;03.09.2018;ELE/RG;4;;;10,0;19,5;10;6;;5;3;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;2;3;2018;03.09.2018;ELE/RG;5;;;7,0;8,0;78;2;;22;11;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;2;3;2018;03.09.2018;ELE/RG;6;;;7,0;6,0;67;16;;24;13;;;;;;;;;11;;;;;;;;;
Gud;Vio_can;Extant;2;3;2018;03.09.2018;ELE/RG;1;;;17,0;18,0;17;6;;18;14;;;;;;;;;1;;;;;;;;;
Gud;Vio_can;Extant;2;3;2018;03.09.2018;ELE/RG;2;;;17,0;7,5;15;8;;15;14;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;4;3;2018;13.09.2018;IA;6;;;28,0;9,0;;4;;265;;;;;;;;;;;;;;;50;11+39;;;2 shoot with flower
Ulv;Car_pal;Novel;5;5;2018;13.09.2018;RG;1;;;27,0;20,5;;4;;142;;;;;;;;;;;;;;2;54;24+30;;;two flower stems
Ulv;Car_pal;Novel;5;5;2018;13.09.2018;RG;2;;;26,5;19,0;;2;;158;;;;;;;;;;;;;;;18;;;;3 new shoots
Ulv;Car_pal;Novel;5;5;2018;13.09.2018;RG;3;;;27,0;18,0;;3;;275;;;;;;;;;;;;;;;;;;;1 new shoots
Ulv;Car_pal;Novel;5;5;2018;13.09.2018;RG;4;;;29,0;19,5;;1;;190;;;;;;;;;;;;;;;;;;;1 new shoots
Ulv;Car_pal;Novel;5;5;2018;13.09.2018;RG;5;;;26,0;9,0;;1;;144;;;;;;;;;;;;;;;23;;;;1 new shoots
Ulv;Car_pal;Novel;5;5;2018;13.09.2018;RG;6;;;27,5;9,5;;6;;203;;;;;;;;;;;;;;;;;;;1 new shoots
Ulv;Car_pal;Novel;5;5;2018;13.09.2018;RG;7;;;29,0;8,5;;3;;175;;;;;;;;;;;;;;;;;;;3 new shoots
Ulv;Car_pal;Novel;5;5;2018;13.09.2018;RG;8;;;29,0;7,0;;3;;146;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;5;5;2018;13.09.2018;RG;9;;;25,5;8,0;;3;;145;;;;;;;;;;;;;;;29;;;;1 new shoots
Ulv;Car_pal;Novel;5;5;2018;13.09.2018;RG;10;;;27,0;6,0;;5;;168;;;;;;;;;;;;;;;;;;;1 new shoots
Ulv;Car_pal;Novel;6;3;2018;13.09.2018;SO;1;;;17,5;18,5;;7;;346;;;;;;;;;;;;;;;;;;;aks borte (avblomstret)
Gud;Ver_off;Extant;3;2;2018;03.09.2018;RG;1;;1;17,0;18,0;15;13;;18;9;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;3;2;2018;03.09.2018;RG;2;1;1;16,5;19,0;4;4;;7;4;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;3;2;2018;03.09.2018;RG;3;1;1;16,0;18,5;4;4;;6;4;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;3;2;2018;03.09.2018;RG;4;;1;15,5;18,5;20;8;;11;6;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;3;2;2018;03.09.2018;RG;5;;;16,5;17,0;15;4;;10;6;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;3;2;2018;03.09.2018;RG;6;;;16,0;16,0;4;4;;6;3;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;3;2;2018;03.09.2018;RG;7;;;17,0;16,5;13;8;;9;6;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;3;2;2018;03.09.2018;RG;8;;;17,0;15,5;8;4;;9;5;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;3;2;2018;03.09.2018;RG;9;;;27,5;15,5;11;6;;11;6;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;3;2;2018;03.09.2018;RG;10;;;18,5;14,5;30;36;;19;11;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;3;2;2018;03.09.2018;RG;11;;;16,0;8,5;27;10;;14;7;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;3;2;2018;03.09.2018;RG;12;;;18,0;7,5;72;12;;28;11;;;;;;;;;;;;;;;;;;
Gud;Vio_can;Extant;3;2;2018;03.09.2018;RG;1;;;27,5;17,5;18;3;;16;9;;;;;;;;;;;;;;;;;;
Gud;Vio_can;Extant;3;2;2018;03.09.2018;RG;2;;;26,5;6,5;25;4;;24;18;;;;;;;;;;;;;;;;;;
Gud;Hyp_mac;Novel;3;3;2018;03.09.2018;RG;1;;;7,0;17,5;71;15;;18;12;;;;;;;;;;;;;;;;;;
Gud;Hyp_mac;Novel;3;3;2018;03.09.2018;RG;2;;;9,0;19,5;145;4;;14;11;;;;;;;;;;;;;;;;;;grazed
Gud;Hyp_mac;Novel;3;3;2018;03.09.2018;RG;3;;;9,0;18,0;190;9;;17;10;;;;;;;;;;;;;;;;;;grazed, wilted
Gud;Hyp_mac;Novel;3;3;2018;03.09.2018;RG;4;;;7,5;16,5;165;6;;;;;;;;;;;;;;;;;;;;;wilted + grazed
Gud;Hyp_mac;Novel;3;3;2018;03.09.2018;RG;5;;;7,5;7,5;225;38;;21;11;;;;;;;;;;;;;;;;;;
Gud;Hyp_mac;Novel;3;3;2018;03.09.2018;RG;6;;;6,5;7,0;;;;;;;;;;;;;;;;;;;;;;;grazed
Gud;Hyp_mac;Novel;3;3;2018;03.09.2018;RG;7;;;7,0;6,0;230;40;;21;12;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;6;3;2018;13.09.2018;SO;2;;;19,5;18,0;;4;;240;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;6;3;2018;13.09.2018;SO;3;;;17,5;17,0;;6;;325;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;6;3;2018;13.09.2018;SO;4;;;16,0;9,0;;13;;300;;;;;;;;;;;;;;;34;;;;
Ulv;Car_pal;Novel;6;3;2018;13.09.2018;SO;5;;;17,5;9,0;;8;;362;;;;;;;;;;;;;;;;;;;
Gud;Suc_pra;Novel;3;3;2018;03.09.2018;RG;1;;;26,5;18,5;;10;7+3;87;22;11;;;;;;;;;;;;;;;;;
Gud;Suc_pra;Novel;3;3;2018;03.09.2018;RG;2;;;27,0;18,5;;6;;21;6;;;;;;;;;;;;;;;;;;
Gud;Suc_pra;Novel;3;3;2018;03.09.2018;RG;3;;;28,5;19,0;;6;;38;8;;;;;;;;;;;;;;;;;;
Gud;Suc_pra;Novel;3;3;2018;03.09.2018;RG;4;;;26,5;6,0;;9;;57;25;;;;;;;;;;;;;;;;;;
Gud;Suc_pra;Novel;3;3;2018;03.09.2018;RG;5;;;27,5;7,5;;9;;53;19;;;;;;;;;;;;;;;;;;
Gud;Hyp_mac;Novel;3;5;2018;03.09.2018;ELE;1;;;6,0;17,5;175;24;;16;10;;;;;;;;;;;;;;;;;;
Gud;Hyp_mac;Novel;3;5;2018;03.09.2018;ELE;2;;;8,0;7,5;144;26;;16;10;;;;;;;;;;;;;;;;;;
Gud;Suc_pra;Novel;3;5;2018;03.09.2018;ELE;1;;;18,5;18,0;;12;;105;29;;;;;;;;;;;;;;;;;;
Gud;Suc_pra;Novel;3;5;2018;03.09.2018;ELE;2;;;17,0;7,0;;7;;101;22;;;;;;;;;;;;;;;;;;
Gud;Suc_pra;Novel;3;5;2018;03.09.2018;ELE;3;;;19,0;7,0;;17;9+8;67;16;8;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;6;4;2018;13.09.2018;SO;1;;;28,0;19,0;;8;;427;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;6;4;2018;13.09.2018;SO;2;;;28,5;18,0;;4;;287;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;6;4;2018;13.09.2018;SO;3;;;26,0;16,5;;4;;369;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;6;4;2018;13.09.2018;SO;4;;;26,0;15,5;;8;;327;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;6;4;2018;13.09.2018;SO;5;;;28,0;16,0;;7;;376;;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;3;6;2018;03.09.2018;ELE;1;;;6,5;17,5;103;34;;23;10;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;3;6;2018;03.09.2018;ELE;2;;;7,0;8,0;39;16;;18;9;;;;;;;;;;;;;;;;;;
Gud;Vio_can;Extant;3;6;2018;03.09.2018;ELE;1;;;17,5;17,5;14;10;;16;12;;;;;;;;;;;;;;;;;;
Gud;Vio_can;Extant;3;6;2018;03.09.2018;ELE;2;;;17,5;8,0;19;8;;17;14;;;;;;;;;1;;;;;;;;;
Ulv;Car_pal;Novel;6;4;2018;13.09.2018;SO;6;;;26,0;9,0;;7;;185;;;;;;;;;;;;;;;20;;;;
Ulv;Car_pal;Novel;6;4;2018;13.09.2018;SO;7;;;27,5;9,0;;6;;160;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;7;3;2018;12.09.2018;IA;1;;;18,0;19,0;13;408;;;;;;;;;;;;;;;;2;50;23+27;;;en klynge med to blomster
Ulv;Car_pal;Novel;7;3;2018;12.09.2018;IA;2;;;17,5;9,5;9;185;;;;;;;;;;;;;;;;2;47;18+29;;;
Ulv;Car_pal;Novel;7;3;2018;12.09.2018;IA;3;;;19,5;10,0;4;173;;;;;;;;;;;;;;;;0;;;;;
Ulv;Car_pal;Novel;7;3;2018;12.09.2018;IA;4;;;17,5;8,5;11;194;;;;;;;;;;;;;;;;1;;;;;en blomsterstand, men mangler topp
Gud;Hyp_mac;Novel;4;1;2018;03.09.2018;SO;1;;;8,0;19,0;285;140;;27;17;3;;;;;;;;;;;;;;;;;
Gud;Hyp_mac;Novel;4;1;2018;03.09.2018;SO;2;;;8,0;6,5;284;48;;18;11;1;;;;2;;;;;;;;;;;;;
Ulv;Car_pal;Novel;7;3;2018;12.09.2018;IA;5;;;18,5;7,5;4;185;;;;;;;;;;;;;;;;0;;;;;
Ulv;Car_pal;Novel;7;4;2018;12.09.2018;RG;1;;;7,0;17,0;;;;5;;;;;;;;;;;;;;;;;;;new shoot
Ulv;Car_pal;Novel;7;4;2018;12.09.2018;RG;2;;;8,5;16,0;;5;;198;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;7;4;2018;12.09.2018;RG;3;;;9,0;18,0;;4;;255;;;;;;;;;;;;;;;;;;;
Ulv;Car_pal;Novel;7;4;2018;12.09.2018;RG;4;;;5,5;7,5;;4;;248;;;;;;;;;;;;;;;;;;;
Gud;Suc_pra;Novel;4;1;2018;03.09.2018;SO;1;;;27,0;16,5;;16;8+8;120;23;17;8;9;;;;;;8;;;;1;;;;;1 flower stem, 2 flowers + 1 capsule
Gud;Suc_pra;Novel;4;1;2018;03.09.2018;SO;2;;;27,0;8,0;;26;14+6+6;145;32;;;;;;;;;12;7;5;;2;;;;;2 flower stem, 1 capsule in each
Ulv;Car_pal;Novel;7;4;2018;12.09.2018;RG;5;;;6,5;7,0;;;;50;;;;;;;;;;;;;;;;;;;new shoot
Ulv;Car_pal;Novel;7;4;2018;12.09.2018;RG;6;;;7,5;7,5;;3;;158;;;;;;;;;;23;;;;;;;;;
Ulv;Car_pal;Novel;7;4;2018;12.09.2018;RG;7;;;8,5;6,0;;;;21;;;;;;;;;;;;;;;;;;;new shoot
Låv;Car_pil;Extant;1;2;2018;14.09.2018;;1;;;5,0;19,0;;6;;85;;;;;;;;;;;;;;;10;;;;
Låv;Car_pil;Extant;1;2;2018;14.09.2018;;2;;;6,0;18,5;;6;;186;;;;;;;;;;;;;;;9;;;;
Låv;Car_pil;Extant;1;2;2018;14.09.2018;;3;;;5,5;18,0;;4;;101;;;;;;;;;;;;;;;14;;;;
Låv;Car_pil;Extant;1;2;2018;14.09.2018;;4;;;5,5;9,5;;12;;111;;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;4;6;2018;04.09.2018;RG;1;;;14,5;17,0;54,0;34;;20;11;;;;;;;;;;;;;;;;;;with two branches, but not rooted
Gud;Ver_off;Extant;4;6;2018;04.09.2018;RG;2;;;15;9,0;44,0;12;;19;10;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;4;6;2018;04.09.2018;RG;3;;1;17;8,5;3,0;12;;21;12;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;4;6;2018;04.09.2018;RG;4;3;1;16,5;7,0;3,0;4;;4;3;;;;;;;;;;;;;;;;;;
Gud;Vio_can;Extant;4;6;2018;04.09.2018;RG;1;;;25,5;17,5;17;2;;16;12;;;;;;;;;;;;;;;;;;one leaf gone
Gud;Vio_can;Extant;4;6;2018;04.09.2018;RG;2;;;26,5;17,5;15;5;;21;18;;;;;;;;;;;;;;;;;;
Gud;Vio_can;Extant;4;6;2018;04.09.2018;RG;3;;;26,5;7,0;17;3;;18;15;;;;;;;;;;;;;;;;;;
Gud;Ver_off;Extant;5;1;2018;03.09.2018;SO;1;;;7,0;17,0;7;26;;21;16;;;;;;;;;17;;;;;;;;;
Gud;Ver_off;Extant;5;1;2018;03.09.2018;SO;2;;;7,0;9,0;31;35;;15;7;;;;;;;;;;;;;;;;;;
Gud;Vio_can;Extant;5;1;2018;03.09.2018;SO;1;;;16,0;18,5;11;14;;28;20;;;;;;;;;;;;;;;;;;
